mag_threshold,dir_threshold,sl_multiplier,tp_multiplier,regime,n_signals,n_trades,total_pnl,total_pnl_usd,win_rate,profit_factor,expectancy,sharpe,sortino,max_dd,calmar,avg_bars_held
0.5,0.55,2.0,4.0,False,34,8,-212.07,-424.14,0.25,0.22740354839884877,-26.50875,-7.075031985049687,-7.523766319427931,-240.73999999999998,-0.8809088643349672,8.0
0.5,0.55,2.0,5.0,False,34,8,-212.07,-424.14,0.25,0.22740354839884877,-26.50875,-7.075031985049687,-7.523766319427931,-240.73999999999998,-0.8809088643349672,8.0
0.5,0.55,3.0,2.0,False,34,6,-204.73999999999998,-409.47999999999996,0.5,0.18225026960099053,-34.12333333333333,-7.732649496598949,-7.731533596800049,-216.58,-0.9453319789454242,9.333333333333334
0.5,0.55,3.0,3.0,False,34,6,-177.48999999999998,-354.97999999999996,0.5,0.29108918800175737,-29.581666666666663,-6.3246899330646205,-6.702500234912771,-216.58,-0.8195124203527564,10.666666666666666
0.5,0.55,3.0,4.0,False,34,6,-213.73999999999998,-427.47999999999996,0.3333333333333333,0.2260283893395133,-35.62333333333333,-7.833524672891613,-8.618734815937737,-229.16,-0.9327107697678477,11.166666666666666
0.5,0.55,3.0,5.0,False,34,6,-213.73999999999998,-427.47999999999996,0.3333333333333333,0.2260283893395133,-35.62333333333333,-7.833524672891613,-8.618734815937737,-229.16,-0.9327107697678477,11.166666666666666
0.6,0.55,0.75,2.0,False,8,4,-183.40999999999997,-366.81999999999994,0.25,0.11554226744466414,-45.85249999999999,-9.543700904223392,-9.735685993232323,-174.79,-1.0493163224440756,3.25
0.6,0.55,0.75,3.0,False,8,4,-194.15999999999997,-388.31999999999994,0.25,0.06370256064040122,-48.53999999999999,-10.424873144264923,-10.306312591712492,-181.11999999999998,-1.0719964664310955,4.0
0.6,0.55,0.75,4.0,False,8,4,-194.15999999999997,-388.31999999999994,0.25,0.06370256064040122,-48.53999999999999,-10.424873144264923,-10.306312591712492,-181.11999999999998,-1.0719964664310955,4.0
0.6,0.55,0.75,5.0,False,8,4,-194.15999999999997,-388.31999999999994,0.25,0.06370256064040122,-48.53999999999999,-10.424873144264923,-10.306312591712492,-181.11999999999998,-1.0719964664310955,4.0
0.6,0.55,1.0,2.0,False,8,4,-183.40999999999997,-366.81999999999994,0.25,0.11554226744466414,-45.85249999999999,-9.543700904223392,-9.735685993232323,-174.79,-1.0493163224440756,3.25
0.6,0.55,1.0,3.0,False,8,4,-194.15999999999997,-388.31999999999994,0.25,0.06370256064040122,-48.53999999999999,-10.424873144264923,-10.306312591712492,-181.11999999999998,-1.0719964664310955,4.0
0.6,0.55,1.0,4.0,False,8,4,-194.15999999999997,-388.31999999999994,0.25,0.06370256064040122,-48.53999999999999,-10.424873144264923,-10.306312591712492,-181.11999999999998,-1.0719964664310955,4.0
0.6,0.55,1.0,5.0,False,8,4,-194.15999999999997,-388.31999999999994,0.25,0.06370256064040122,-48.53999999999999,-10.424873144264923,-10.306312591712492,-181.11999999999998,-1.0719964664310955,4.0
0.6,0.55,1.5,2.0,False,8,4,-190.40999999999997,-380.81999999999994,0.25,0.11176937071418577,-47.60249999999999,-9.99917112690265,-10.341961010187163,-174.79,-1.0893643801132786,3.5
0.6,0.55,1.5,3.0,False,8,4,-201.15999999999997,-402.31999999999994,0.25,0.06162242851145217,-50.28999999999999,-10.916283031505406,-10.925838332068954,-181.11999999999998,-1.1106448763250882,4.25
0.6,0.55,1.5,4.0,False,8,4,-201.15999999999997,-402.31999999999994,0.25,0.06162242851145217,-50.28999999999999,-10.916283031505406,-10.925838332068954,-181.11999999999998,-1.1106448763250882,4.25
0.6,0.55,1.5,5.0,False,8,4,-201.15999999999997,-402.31999999999994,0.25,0.06162242851145217,-50.28999999999999,-10.916283031505406,-10.925838332068954,-181.11999999999998,-1.1106448763250882,4.25
0.6,0.55,2.0,2.0,False,8,4,-190.40999999999997,-380.81999999999994,0.25,0.11176937071418577,-47.60249999999999,-9.99917112690265,-10.341961010187163,-174.79,-1.0893643801132786,3.5
0.6,0.55,2.0,3.0,False,8,4,-201.15999999999997,-402.31999999999994,0.25,0.06162242851145217,-50.28999999999999,-10.916283031505406,-10.925838332068954,-181.11999999999998,-1.1106448763250882,4.25
0.6,0.55,2.0,4.0,False,8,4,-201.15999999999997,-402.31999999999994,0.25,0.06162242851145217,-50.28999999999999,-10.916283031505406,-10.925838332068954,-181.11999999999998,-1.1106448763250882,4.25
0.6,0.55,2.0,5.0,False,8,4,-201.15999999999997,-402.31999999999994,0.25,0.06162242851145217,-50.28999999999999,-10.916283031505406,-10.925838332068954,-181.11999999999998,-1.1106448763250882,4.25
0.6,0.55,3.0,2.0,False,8,3,-148.11999999999998,-296.23999999999995,0.6666666666666666,0.18856141119754577,-49.37333333333333,-8.309398128513525,0.0,0.0,0.0,5.666666666666667
0.6,0.55,3.0,3.0,False,8,3,-158.86999999999998,-317.73999999999995,0.6666666666666666,0.12967020926920128,-52.956666666666656,-9.173903457681826,0.0,0.0,0.0,6.666666666666667
0.6,0.55,3.0,4.0,False,8,3,-195.11999999999998,-390.23999999999995,0.3333333333333333,0.06340901454423271,-65.03999999999999,-12.204687740230494,-13.173562891608876,-25.789999999999992,-7.565723148507175,7.666666666666667
0.6,0.55,3.0,5.0,False,8,3,-195.11999999999998,-390.23999999999995,0.3333333333333333,0.06340901454423271,-65.03999999999999,-12.204687740230494,-13.173562891608876,-25.789999999999992,-7.565723148507175,7.666666666666667
0.7,0.5,0.75,2.0,True,3992,1210,-10209.649999999998,-20419.299999999996,0.32975206611570246,0.5391028856037621,-8.43772727272727,-4.515277405768349,-13.028005185829159,-10194.490000000207,-1.001487077823392,3.8636363636363638
0.7,0.5,0.75,3.0,True,3992,1131,-9327.239999999998,-18654.479999999996,0.33687002652519893,0.5494848697080204,-8.246896551724136,-4.303057512069756,-12.398662450390953,-9329.370000000104,-0.9997716887635385,4.215738284703802
0.7,0.5,0.75,4.0,True,3992,1115,-9009.849999999999,-18019.699999999997,0.3399103139013453,0.5565296315492336,-8.080582959641255,-4.186931412652667,-12.228271928771397,-9011.980000000045,-0.9997636479441758,4.324663677130045
0.7,0.5,0.75,5.0,True,3992,1111,-9063.439999999999,-18126.879999999997,0.33933393339333934,0.55336803190876,-8.157911791179117,-4.225581451777481,-12.292705956230762,-9065.570000000054,-0.9997650451102297,4.324032403240324
